*ostetti ära;4
üheksa *aastaselt;4
`terveks saand;4
möödad ülesse;4
jala=naal;4
mõla=küllest;4
nellä `aastane;4
`võera juures;4
`peksa saand;4
saad mehele;4
onn veel paremeni meeles;4
kuu (.) ühü kuu vanudune;4
`väl'la `võtta;4
`pan'tti ülesse;4
saeme läbi;4
`kätte saaks;4
`tiisle=peal;4
kaks kolm+*gümme;4
`võtsime `kätte;4
tule kõik `miele;4
akka piha;4
`katki läind;4
pan'ni=päle;4
`võtke `kinni;4
ääre `alla;4
`lahti `võt'tis;4
edasi `astusin;4
`valmis `tehtud;4
kõige viimane;4
teil onn nüid riigi=as'i ega teil põle nal'la=as'i;4
selle naeal;4
`viid'i nad `vette;4
`võetti väl'lä;4
`lasta `sisse;4
üläl `jõstma;4
jäi `kat'ki;4
toob tagasi;4
`vöötti maha;4
kahe=*kiermeseid;4
`alla `panna;4
`järge suan;4
aead augud `sisse;4
*kätte saad;4
`pan'di `likku;4
aeasid `juttu;4
aru ei saa;4
ia küll;4
läheb tarvis;4
ei saand *kätte;4
`astusivad ülesse;4
`enne seda;4
läbi käind;4
aa=ses;4
läbi kurnatti;4
*nel'ja+saja *tündrised;4
`piale selle;4
ära kolis;4
kuulu järel;4
kahe+`gümne `aastane;4
`seotti teine+deisele `sappa;4
*silgud *müija *astjaga;4
jummal' hoija;4
sööludi ära;4
kätte=pial;4
jäänd järele;4
visat'ti see vihk minema;4
tee+raea=pial;4
ree=peal;4
eij=ole sõna=sõnalt *mieless;4
`loogu `võtta;4
lähäb `raisku;4
`leikkad ära;4
reij=all;4
käisin karjas;4
tagasi tulema;4
ren'di=peal;4
keppi=otses;4
nõu=ses;4
`kümne ühe kahe+teis+`kümne `aastane;4
meelde panema;4
oli pärit;4
`tüikka pool;4
tulnd `vastu;4
kihi `viis'i;4
väi+me juures;4
kige vanemp;4
ulgale `rahvale;4
ei *julgend;4
*kümme *aastane;4
tuln ära;4
`akkas `kokku;4
`lüüd'i `likku;4
pannaste `pääle;4
kodaratte `külge;4
`meeli tuleb;4
`alla `aama;4
nende=poolt;4
kellä ütte kattõ=`aigo;4
varre otses;4
reije=`alla;4
läks mehele;4
`lõhkus ära;4
maha kukkub;4
kell *seitse või puol *seitse aeal;4
`matti `võetti;4
maa=i saan aru;4
`söödi ära;4
`tõusid ülesse;4
jäi maha;4
tulnd `väl'la;4
ära `minna;4
`päikkese kääs;4
tuli *selga;4
`välja tuleb;4
sordi `järgi;4
käis'in viis suvet karjas;4
põranda `piale;4
`tehti tul'i üles;4
kahessa+dõist `aastane;4
mõne (.) k- `kõrgema `piale;4
`kiskus `parkki;4
obuste jaoks;4
kõige ennem;4
kaheksa *vakka+mane;4
ilma `tuulamatta;4
kaheksa *aastane;4
sai koju *tuodud;4
`kohtade peal;4
uuwemal=aal;4
maha läind;4
kinni siduda;4
talu=`peale;4
üle *minna;4
oi `jummal;4
ostu=`piale;4
tule jälle `lõunelle;4
*enne esimise *ilma+sõda *aeksi *vikkastid;4
res'ti=piale;4
`kin'ni `aettud;4
vanal=aal;4
läksime `väl'la;4
võttan `kätte;4
looma+bidamise `piale;4
vadus kamarast läbi;4
olõ=õi meelehh;4
käde saand;4
ära anna;4
põle enam meeles+ki;4
oi jummal;4
`peale=tuule ole ju ilusad ja `rasked terad kõik (.) aga `alla=tuule tuleb `siuksed kõlgusi;4
müüri `sisse;4
tuli üle;4
vee sees;4
aeas `ringi;4
nägin seda unes;4
maha murdma;4
tähele `panna;4
värava pool;4
maa=ligi;4
`pääle `pandud;4
`välja `vötmas;4
`võetti `väl'la;4
`pan'di ülesse;4
tüdrugud mihele kanad munele;4
`võetti `kätte;4
ilmahh halvaq ajaq kurjaq;4
pügi ärä;4
lauwa=päle;4
eij=õld *kaabittud=ei *pestud=ei;4
väl'la=pial;4
ligi `lakke;4
`katsme+`gümne `aastane;4
möda `laudasi;4
lina `kakminõ;4
`kätte saad;4
alt siledad;4
nään last unes;4
läks `katti;4
`väl'la tuld;4
aru `saada;4
kõige ees;4
õlen siis *püüdänd ja eländ ja õld;4
`metsa `kasvand;4
`ette `panna;4
käe `peale;4
*kõige *nuoremb;4
`kokku vädada;3
