sg.nom.;135124
pers.ind.ipf.sg.3.;52496
sg.gen.;51576
pl.nom.;46529
sg.part.;38084
pers.ind.pr.sg.3.;19265
pers.ind.ipf.pl.3.;17540
ips.ind.ipf.;17449
nud.;15961
pers.ind.pr.neg.;14199
sg.ad.;13378
pl.part.;12745
inf.;10044
sg.in.;9280
pers.ind.ipf.sg.1.;8877
sup.;8086
sg.ill.;7739
sg.el.;7097
sg.kom.;6607
tud.;6570
sg.all.;4987
pers.ind.pr.pl.3.;4470
pers.ind.ipf.pl.1.;4308
pl.gen.;4241
pers.ind.pr.sg.1.;3992
pers.imp.pr.sg.2.;3897
pers.ind.pr.sg.2.;3824
sg.tr.;3698
pl.ad.;3689
ipf.;3391
pers.ind.ipf.sg.2.;2417
pl.kom.;2067
ips.ind.pr.;1987
pr.;1619
sg.nom.cmp.;1546
pers.ind.pr.pl.1.;1188
pl.all.;1187
sup.in.;954
pl.el.;953
pl.nom.cmp.;636
nud.neg.;628
sg.abl.;582
pers.ind.pr.pl.2.;561
pers.knd.pr.sg.3.;462
pers.imp.pr.pl.2.;452
nud.sg.;427
ips.ind.pr.neg.;363
sup.ill.;352
sg.ter.;302
pers.ind.pr.;302
pers.knd.pr.;240
nud.pl.;239
pl.in.;232
sup.ab.;220
sg.tr.cmp.;219
nud.pl.3.;192
sg.part.cmp.;163
sg.gen.cmp.;161
sg.ab.;145
pers.ind.ipf.pl.2.;145
pers.ind.ipf.neg.;142
pers.kvt.pr.sg.3.;140
ger.;137
pl.tr.;134
pers.ind.ipf.;126
pl.ill.;124
pers.knd.pr.sg.1.;122
pers.jus.pr.sg.3.;121
pers.ind.pr.sg.3.neg.;86
pers.ind.pr.sg.1.neg.;82
tud.sg.tr.;72
vpts.sg.nom.;71
pl.part.cmp.;69
pers.knd.pr.pl.3.;66
pers.knd.pr.neg.;62
pers.imp.pr.sg.2.neg.;59
pers.ind.pr.pl.3.neg.;57
pers.imp.pr.neg.;55
sg.ad.cmp.;53
pers.jus.pr.;48
pl.abl.;47
pers.kvt.pr.;46
sg.es.;43
sg.el.cmp.;40
pers.ind.ipf.sg.3.neg.;40
cli.;39
vpts.sg.gen.;37
pers.kvt.ipf.pl.3.;36
ips.ind.ipf.sg.1.;32
sg.all.cmp.;29
tud.tr.;27
sup.el.;26
pers.jus.pr.pl.3.;26
tud.pl.;26
pl.ab.;25
vpts.sg.part.;25
pers.ind.ipf.sg.1.neg.;24
ips.ind.ipf.neg.;23
pers.kvt.pr.pl.3.;23
sg.inst.;23
pers.ind.pr.neg.cli.;22
pl.ter.;21
ips.ind.ipf..;21
pers.kvt.ipf.;20
pers.ind.pr.sg.2.neg.;20
pers.knd.pr.pl.1.;20
tud.pl.nom.;19
pas.ind.ipf.pl.3.;19
sg.ill.cmp.;18
pers.knd.pr.pl.2.;18
pers.imp.pr.sg.3.;18
sg.part.cli.;18
pers.imp.pr.pl.2.neg.;17
nud.sg.neg.;17
sg.abl.cmp.;17
pers.ind.ipf.sg.3.cli.;17
pl.inst.;16
pas.ind.ipf.sg.;16
sg.in.cmp.;15
sg.pl.;15
pers.knd.ipf.sg.1.;14
pers.knd.pr.sg.2.;14
pers.knd.ipf.sg.3.;13
pers.ind.ipf.pl.3.neg.;13
ips.ind.ipf.sg.3.;13
pers.ind.pr.pl.1.neg.;13
pl.ad.cmp.;13
cmp.;12
pers.imp.pr.;12
tud.pl.3.;11
ips.kvt.pr.;11
ips.ind.ipf.pl.3.;11
nud.cli.;11
sg.2.;11
pers.kvt.pr.neg.;11
pl.gen.cmp.;11
pers.ind.pr.sg.;11
nud.tr.;10
sg.nom.cli.;10
ips.sup.;10
tud.neg.;10
vpts.pl.nom.;9
sg.1.;9
